epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.45928620199993,0,64,60000,0.3942,0.24939595500018186,8
3.4782178220002606,1,64,60000,0.534,0.25136041499990824,8
3.510746981000011,2,64,60000,0.6236,0.249231384000268,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.480455802000506,0,64,60000,0.5269,0.2543558239995036,8
3.359228295000321,1,64,60000,0.5822,0.2454360239999005,8
3.4106074639994404,2,64,60000,0.618,0.25219871399986005,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.4431698429998505,0,64,60000,0.4796,0.2552309040002001,8
3.4551831829994626,1,64,60000,0.5774,0.25613500400049816,8
3.4475492020001184,2,64,60000,0.6103,0.24951071400028013,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.509012280999741,0,64,60000,0.3628,0.2529664040002899,8
3.4699835020001046,1,64,60000,0.577,0.24919743500049663,8
3.443105373000435,2,64,60000,0.6216,0.24686714399922494,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.4462385320002795,0,64,60000,0.3265,0.24893750499995804,8
3.407753584000602,1,64,60000,0.5443,0.24750328400023136,8
3.420517192999796,2,64,60000,0.5859,0.25172209500033205,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.4116862529999707,0,64,60000,0.4322,0.2504951640003128,8
3.434587563000605,1,64,60000,0.5915,0.2510877039994739,8
3.431260533000568,2,64,60000,0.6298,0.2502016349999394,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.467508351000106,0,64,60000,0.4416,0.24651332500070566,8
3.351903434000633,1,64,60000,0.5991,0.24528407500019966,8
3.3929402339999797,2,64,60000,0.6141,0.24982605400055036,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.3594111450001947,0,64,60000,0.4936,0.24617002499962837,8
3.373265803999857,1,64,60000,0.5887,0.24841469500006497,8
3.399660443000357,2,64,60000,0.6187,0.2468939849995877,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.419011612999384,0,64,60000,0.4488,0.2600135950006006,8
3.4813659820001703,1,64,60000,0.5083,0.2528514039995571,8
3.3467702950001694,2,64,60000,0.6132,0.24715618400023232,8
epoch_duration,epoch,batch_size,data_size,accuracy,test_duration,num_agents
3.382100914000148,0,64,60000,0.4927,0.2460590639993825,8
3.392776073999812,1,64,60000,0.5647,0.24517052400005923,8
3.355801425000209,2,64,60000,0.6393,0.2456656539998221,8
