333.65972447395325, 521.9875218868256, 196.5370695590973, 369.70551443099976, 5961.8443257808685
368.5220513343811, 484.2713289260864, 225.4437713623047, 375.86396193504333, 5981.799835205078
338.82025480270386, 510.34153866767883, 205.1191372871399, 356.69232630729675, 5999.832886457443
327.7317531108856, 515.8589131832123, 195.60489296913147, 362.8016769886017, 5963.691899299622
327.7196342945099, 567.4633574485779, 191.10530829429626, 365.35576820373535, 5971.508186578751
359.50139331817627, 524.1113874912262, 208.09569025039673, 340.5129380226135, 5977.590059518814
352.2467269897461, 554.7866787910461, 196.0174961090088, 344.37176609039307, 5961.495899438858
354.31675148010254, 509.74880266189575, 228.16318798065186, 346.1400582790375, 5984.583252906799
360.7781252861023, 531.3190767765045, 217.31147289276123, 348.75360679626465, 5934.883867025375
338.8444094657898, 517.3885631561279, 183.0366940498352, 319.8351585865021, 5916.537480592728
